station,time,latitude,longitude,year,quarter,biomass,biomass_se,area,area_se,passes,passes5,passes7,passes8,passes6,proccessed_flag,ID,asset
152183,2018-02-15,34.6105646615028,-120.730874629199,2018,1,277.0,277.0,34.0,34.0,5,0,0,5,-32767,1,6731,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152332,2018-02-15,35.1733046709401,-120.72483340905,2018,1,181.0,181.0,22.0,22.0,7,0,2,5,-32767,1,6732,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152333,2018-02-15,35.1735746132679,-120.72484573852,2018,1,472.0,316.0,60.0,41.0,7,0,2,5,-32767,1,6733,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152334,2018-02-15,35.1738445555798,-120.724858068153,2018,1,232.0,232.0,30.0,30.0,7,0,2,5,-32767,1,6734,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152345,2018-02-15,35.1741246213229,-120.724541635374,2018,1,248.0,248.0,32.0,32.0,7,0,2,5,-32767,1,6735,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152354,2018-02-15,35.1744046863618,-120.72422520043,2018,1,198.0,198.0,24.0,24.0,7,0,2,5,-32767,1,6736,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152362,2018-02-15,35.1744148081298,-120.723896436443,2018,1,316.0,316.0,42.0,42.0,7,0,2,5,-32767,1,6737,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152367,2018-02-15,35.1736151009116,-120.723530695884,2018,1,223.0,223.0,28.0,28.0,7,0,2,5,-32767,1,6738,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152369,2018-02-15,35.1741549863251,-120.723555346659,2018,1,324.0,324.0,44.0,44.0,7,0,2,5,-32767,1,6739,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152370,2018-02-15,35.1744249290081,-120.723567672292,2018,1,648.0,446.0,87.0,61.0,7,0,2,5,-32767,1,6740,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152378,2018-02-15,35.1744350489965,-120.723238907977,2018,1,400.0,400.0,55.0,55.0,7,0,2,5,-32767,1,6741,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152383,2018-02-15,35.1736353393948,-120.722873173583,2018,1,290.0,290.0,39.0,39.0,7,0,2,5,-32767,1,6742,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152386,2018-02-15,35.1744451680952,-120.722910143498,2018,1,366.0,366.0,50.0,50.0,7,0,2,5,-32767,1,6743,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
152393,2018-02-15,35.1739154003184,-120.722556734246,2018,1,274.0,274.0,36.0,36.0,7,0,2,5,-32767,1,6744,S2A_MSIL2A_20180122T185421_R070_T10SGD_20201014T074533
